,match_key,control_idx,treatment_idx,control_text,treatment_text,template,bias_type_index,vals_index,permutation_index,treatment_answer,control_answer,treatment_prob,control_prob,target_position
0,"(1, 1, 1, 1, 1, 1)",0,0,"Choose between:
Option A - $2500 with a 33% chance, $0 with a 67% chance.
Option B - $2400 with a 34% chance, $0 with a 66% chance.
What is your choice?
Answer:","Choose between:
Option A - $2500 with a 33% chance, $2400 with a 66% chance, $0 with a 1% chance.
Option B - $2400 with certainty.
What is your choice?
Answer:",1,1,1,1,target,better_expected_value,-0.21172578632831573,-0.30735743045806885,Option B (second)
3,"(1, 1, 1, 1, 1, 2)",3,3,"Choose between:
Option A - 34% to win $2400, 66% to win $0.
Option B - $2500 with a 33% chance, $0 with a 67% chance.
What is your choice?
Answer:","Choose between:
Option A - $2400 for sure.
Option B - $2500 with a 33% chance, $2400 with a 66% chance, $0 with a 1% chance.
What is your choice?
Answer:",1,1,1,2,target,better_expected_value,-0.8871822357177734,-0.5739141702651978,Option A (first)
5,"(1, 1, 1, 1, 2, 1)",6,8,"Choose between:
Option A - 33% to win $2500, 67% to win $0.
Option B - 34% to win $2400, 66% to win $0.
What is your choice?
Answer:","Choose between:
Option A - 33% to win $2500, 66% to win $2400, 1% to win $0.
Option B - $2400 for sure.
What is your choice?
Answer:",1,1,1,1,target,better_expected_value,-0.43811213970184326,-0.20163123309612274,Option B (second)
6,"(1, 1, 1, 1, 2, 2)",5,7,"Choose between:
Option A - $2400 with a 34% chance, $0 with a 66% chance.
Option B - 33% to win $2500, 67% to win $0.
What is your choice?
Answer:","Choose between:
Option A - $2400 with certainty.
Option B - 33% to win $2500, 66% to win $2400, 1% to win $0.
What is your choice?
Answer:",1,1,1,2,target,better_expected_value,-0.45927369594573975,-0.24391768872737885,Option A (first)
7,"(1, 1, 1, 1, 2, 2)",7,9,"Choose between:
Option A - 34% to win $2400, 66% to win $0.
Option B - 33% to win $2500, 67% to win $0.
What is your choice?
Answer:","Choose between:
Option A - $2400 for sure.
Option B - 33% to win $2500, 66% to win $2400, 1% to win $0.
What is your choice?
Answer:",1,1,1,2,target,better_expected_value,-0.9837876558303833,-0.5760915875434875,Option A (first)
10,"(1, 1, 2, 1, 1, 2)",9,13,"Choose between:
Option A - $2500 with a 35% chance, $0 with a 65% chance.
Option B - $3000 with a 34% chance, $0 with a 66% chance.
What is your choice?
Answer:","Choose between:
Option A - $2500 with certainty.
Option B - $3000 with a 34% chance, $2500 with a 65% chance, $0 with a 1% chance.
What is your choice?
Answer:",1,1,2,2,target,better_expected_value,-0.31649574637413025,-0.3487418591976166,Option A (first)
12,"(1, 1, 2, 1, 2, 1)",12,18,"Choose between:
Option A - 34% to win $3000, 66% to win $0.
Option B - $2500 with a 35% chance, $0 with a 65% chance.
What is your choice?
Answer:","Choose between:
Option A - 34% to win $3000, 65% to win $2500, 1% to win $0.
Option B - $2500 with certainty.
What is your choice?
Answer:",1,1,2,1,target,better_expected_value,-0.7669304013252258,-0.5085538029670715,Option B (second)
14,"(1, 1, 2, 1, 2, 2)",13,19,"Choose between:
Option A - $2500 with a 35% chance, $0 with a 65% chance.
Option B - 34% to win $3000, 66% to win $0.
What is your choice?
Answer:","Choose between:
Option A - $2500 with certainty.
Option B - 34% to win $3000, 65% to win $2500, 1% to win $0.
What is your choice?
Answer:",1,1,2,2,target,better_expected_value,-0.03813023492693901,-0.225582554936409,Option A (first)
15,"(1, 1, 2, 1, 2, 2)",15,21,"Choose between:
Option A - 35% to win $2500, 65% to win $0.
Option B - 34% to win $3000, 66% to win $0.
What is your choice?
Answer:","Choose between:
Option A - $2500 for sure.
Option B - 34% to win $3000, 65% to win $2500, 1% to win $0.
What is your choice?
Answer:",1,1,2,2,target,better_expected_value,-0.5415599942207336,-0.38702717423439026,Option A (first)
20,"(1, 1, 3, 1, 2, 1)",20,30,"Choose between:
Option A - 35% to win $3500, 65% to win $0.
Option B - $2600 with a 36% chance, $0 with a 64% chance.
What is your choice?
Answer:","Choose between:
Option A - 35% to win $3500, 64% to win $2600, 1% to win $0.
Option B - $2600 with certainty.
What is your choice?
Answer:",1,1,3,1,target,better_expected_value,-0.10025101155042648,-0.5508265495300293,Option B (second)
