,index,match_key,control_idx,treatment_idx,control_text,treatment_text,template,bias_type_index,vals_index,permutation_index,treatment_answer,control_answer,treatment_prob,control_prob,target_position,control_resp,treatment_resp,control_resp_full,treatment_resp_full,control_resp_eq_treatment_resp
0,0,"(1, 1, 1, 1, 1, 1)",0,0,"Choose between:
Option A - $2500 with a 33% chance, $0 with a 67% chance.
Option B - $2400 with a 34% chance, $0 with a 66% chance.
What is your choice?
Answer:","Choose between:
Option A - $2500 with a 33% chance, $2400 with a 66% chance, $0 with a 1% chance.
Option B - $2400 with certainty.
What is your choice?
Answer:",1,1,1,1,target,better_expected_value,-0.2117257863283157,-0.3073574304580688,Option B (second),A,B,A,Option B,False
1,3,"(1, 1, 1, 1, 1, 2)",3,3,"Choose between:
Option A - 34% to win $2400, 66% to win $0.
Option B - $2500 with a 33% chance, $0 with a 67% chance.
What is your choice?
Answer:","Choose between:
Option A - $2400 for sure.
Option B - $2500 with a 33% chance, $2400 with a 66% chance, $0 with a 1% chance.
What is your choice?
Answer:",1,1,1,2,target,better_expected_value,-0.8871822357177734,-0.5739141702651978,Option A (first),A,A,Option A,A,True
2,5,"(1, 1, 1, 1, 2, 1)",6,8,"Choose between:
Option A - 33% to win $2500, 67% to win $0.
Option B - 34% to win $2400, 66% to win $0.
What is your choice?
Answer:","Choose between:
Option A - 33% to win $2500, 66% to win $2400, 1% to win $0.
Option B - $2400 for sure.
What is your choice?
Answer:",1,1,1,1,target,better_expected_value,-0.4381121397018432,-0.2016312330961227,Option B (second),A,A,Option A,Option A,True
3,6,"(1, 1, 1, 1, 2, 2)",5,7,"Choose between:
Option A - $2400 with a 34% chance, $0 with a 66% chance.
Option B - 33% to win $2500, 67% to win $0.
What is your choice?
Answer:","Choose between:
Option A - $2400 with certainty.
Option B - 33% to win $2500, 66% to win $2400, 1% to win $0.
What is your choice?
Answer:",1,1,1,2,target,better_expected_value,-0.4592736959457397,-0.2439176887273788,Option A (first),A,A,A,A,True
4,7,"(1, 1, 1, 1, 2, 2)",7,9,"Choose between:
Option A - 34% to win $2400, 66% to win $0.
Option B - 33% to win $2500, 67% to win $0.
What is your choice?
Answer:","Choose between:
Option A - $2400 for sure.
Option B - 33% to win $2500, 66% to win $2400, 1% to win $0.
What is your choice?
Answer:",1,1,1,2,target,better_expected_value,-0.9837876558303832,-0.5760915875434875,Option A (first),B,A,Option B,A,False
5,10,"(1, 1, 2, 1, 1, 2)",9,13,"Choose between:
Option A - $2500 with a 35% chance, $0 with a 65% chance.
Option B - $3000 with a 34% chance, $0 with a 66% chance.
What is your choice?
Answer:","Choose between:
Option A - $2500 with certainty.
Option B - $3000 with a 34% chance, $2500 with a 65% chance, $0 with a 1% chance.
What is your choice?
Answer:",1,1,2,2,target,better_expected_value,-0.3164957463741302,-0.3487418591976166,Option A (first),A,A,A,A,True
6,12,"(1, 1, 2, 1, 2, 1)",12,18,"Choose between:
Option A - 34% to win $3000, 66% to win $0.
Option B - $2500 with a 35% chance, $0 with a 65% chance.
What is your choice?
Answer:","Choose between:
Option A - 34% to win $3000, 65% to win $2500, 1% to win $0.
Option B - $2500 with certainty.
What is your choice?
Answer:",1,1,2,1,target,better_expected_value,-0.7669304013252258,-0.5085538029670715,Option B (second),A,A,Option A,Option A,True
7,14,"(1, 1, 2, 1, 2, 2)",13,19,"Choose between:
Option A - $2500 with a 35% chance, $0 with a 65% chance.
Option B - 34% to win $3000, 66% to win $0.
What is your choice?
Answer:","Choose between:
Option A - $2500 with certainty.
Option B - 34% to win $3000, 65% to win $2500, 1% to win $0.
What is your choice?
Answer:",1,1,2,2,target,better_expected_value,-0.038130234926939,-0.225582554936409,Option A (first),A,A,A,A,True
8,15,"(1, 1, 2, 1, 2, 2)",15,21,"Choose between:
Option A - 35% to win $2500, 65% to win $0.
Option B - 34% to win $3000, 66% to win $0.
What is your choice?
Answer:","Choose between:
Option A - $2500 for sure.
Option B - 34% to win $3000, 65% to win $2500, 1% to win $0.
What is your choice?
Answer:",1,1,2,2,target,better_expected_value,-0.5415599942207336,-0.3870271742343902,Option A (first),B,A,Option B,A,False
9,20,"(1, 1, 3, 1, 2, 1)",20,30,"Choose between:
Option A - 35% to win $3500, 65% to win $0.
Option B - $2600 with a 36% chance, $0 with a 64% chance.
What is your choice?
Answer:","Choose between:
Option A - 35% to win $3500, 64% to win $2600, 1% to win $0.
Option B - $2600 with certainty.
What is your choice?
Answer:",1,1,3,1,target,better_expected_value,-0.1002510115504264,-0.5508265495300293,Option B (second),A,A,Option A,A,True
10,23,"(1, 1, 3, 1, 2, 2)",23,33,"Choose between:
Option A - 36% to win $2600, 64% to win $0.
Option B - 35% to win $3500, 65% to win $0.
What is your choice?
Answer:","Choose between:
Option A - $2600 for sure.
Option B - 35% to win $3500, 64% to win $2600, 1% to win $0.
What is your choice?
Answer:",1,1,3,2,target,better_expected_value,-0.7119101285934448,-0.4010332822799682,Option A (first),A,A,A,A,True
11,24,"(1, 1, 4, 1, 1, 1)",24,36,"Choose between:
Option A - $1000 with a 20% chance, $0 with a 80% chance.
Option B - $800 with a 21% chance, $0 with a 79% chance.
What is your choice?
Answer:","Choose between:
Option A - $1000 with a 20% chance, $800 with a 79% chance, $0 with a 1% chance.
Option B - $800 with certainty.
What is your choice?
Answer:",1,1,4,1,target,better_expected_value,-0.5550523996353149,-0.2744776904582977,Option B (second),A,B,A,Option B,False
12,27,"(1, 1, 4, 1, 1, 2)",27,39,"Choose between:
Option A - 21% to win $800, 79% to win $0.
Option B - $1000 with a 20% chance, $0 with a 80% chance.
What is your choice?
Answer:","Choose between:
Option A - $800 for sure.
Option B - $1000 with a 20% chance, $800 with a 79% chance, $0 with a 1% chance.
What is your choice?
Answer:",1,1,4,2,target,better_expected_value,-0.6468160152435303,-0.4004128277301788,Option A (first),B,A,B,A,False
13,38,"(1, 1, 5, 1, 2, 2)",37,55,"Choose between:
Option A - $850 with a 26% chance, $0 with a 74% chance.
Option B - 25% to win $1000, 75% to win $0.
What is your choice?
Answer:","Choose between:
Option A - $850 with certainty.
Option B - 25% to win $1000, 74% to win $850, 1% to win $0.
What is your choice?
Answer:",1,1,5,2,target,better_expected_value,-0.4784096479415893,-0.3371548950672149,Option A (first),A,A,A,A,True
14,41,"(1, 1, 6, 1, 1, 1)",42,62,"Choose between:
Option A - $1500 with a 25% chance, $0 with a 75% chance.
Option B - 26% to win $1300, 74% to win $0.
What is your choice?
Answer:","Choose between:
Option A - $1500 with a 25% chance, $1300 with a 74% chance, $0 with a 1% chance.
Option B - $1300 for sure.
What is your choice?
Answer:",1,1,6,1,target,better_expected_value,-0.3133649230003357,-0.2843657732009887,Option B (second),A,B,A,Option B,False
15,43,"(1, 1, 6, 1, 1, 2)",43,63,"Choose between:
Option A - 26% to win $1300, 74% to win $0.
Option B - $1500 with a 25% chance, $0 with a 75% chance.
What is your choice?
Answer:","Choose between:
Option A - $1300 for sure.
Option B - $1500 with a 25% chance, $1300 with a 74% chance, $0 with a 1% chance.
What is your choice?
Answer:",1,1,6,2,target,better_expected_value,-0.2963851690292358,-0.2521906793117523,Option A (first),B,A,B,A,False
16,46,"(1, 1, 6, 1, 2, 2)",45,67,"Choose between:
Option A - $1300 with a 26% chance, $0 with a 74% chance.
Option B - 25% to win $1500, 75% to win $0.
What is your choice?
Answer:","Choose between:
Option A - $1300 with certainty.
Option B - 25% to win $1500, 74% to win $1300, 1% to win $0.
What is your choice?
Answer:",1,1,6,2,target,better_expected_value,-0.589932918548584,-0.4243942201137543,Option A (first),A,A,A,A,True
17,47,"(1, 1, 6, 1, 2, 2)",47,69,"Choose between:
Option A - 26% to win $1300, 74% to win $0.
Option B - 25% to win $1500, 75% to win $0.
What is your choice?
Answer:","Choose between:
Option A - $1300 for sure.
Option B - 25% to win $1500, 74% to win $1300, 1% to win $0.
What is your choice?
Answer:",1,1,6,2,target,better_expected_value,-0.2782872915267944,-0.5202299952507019,Option A (first),B,A,B,A,False
18,51,"(1, 1, 7, 1, 1, 2)",51,75,"Choose between:
Option A - 26% to win $4800, 74% to win $0.
Option B - $5000 with a 25% chance, $0 with a 75% chance.
What is your choice?
Answer:","Choose between:
Option A - $4800 for sure.
Option B - $5000 with a 25% chance, $4800 with a 74% chance, $0 with a 1% chance.
What is your choice?
Answer:",1,1,7,2,target,better_expected_value,-0.2310831397771835,-0.4743026196956634,Option A (first),A,A,A,A,True
19,52,"(1, 1, 7, 1, 2, 1)",52,78,"Choose between:
Option A - 25% to win $5000, 75% to win $0.
Option B - $4800 with a 26% chance, $0 with a 74% chance.
What is your choice?
Answer:","Choose between:
Option A - 25% to win $5000, 74% to win $4800, 1% to win $0.
Option B - $4800 with certainty.
What is your choice?
Answer:",1,1,7,1,target,better_expected_value,-0.6327077746391296,-0.5760915875434875,Option B (second),A,B,A,B,False
20,53,"(1, 1, 7, 1, 2, 1)",54,80,"Choose between:
Option A - 25% to win $5000, 75% to win $0.
Option B - 26% to win $4800, 74% to win $0.
What is your choice?
Answer:","Choose between:
Option A - 25% to win $5000, 74% to win $4800, 1% to win $0.
Option B - $4800 for sure.
What is your choice?
Answer:",1,1,7,1,target,better_expected_value,-0.7806206345558167,-0.9140743017196656,Option B (second),A,B,A,B,False
21,55,"(1, 1, 7, 1, 2, 2)",55,81,"Choose between:
Option A - 26% to win $4800, 74% to win $0.
Option B - 25% to win $5000, 75% to win $0.
What is your choice?
Answer:","Choose between:
Option A - $4800 for sure.
Option B - 25% to win $5000, 74% to win $4800, 1% to win $0.
What is your choice?
Answer:",1,1,7,2,target,better_expected_value,-0.2789478003978729,-0.0790309682488441,Option A (first),B,A,B,A,False
